activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,total_production,total_attraction
1,A1,-111.94406546375005,33.42947421375,"POLYGON ((-111.94704 33.42731,-111.94704 33.43201,-111.93922 33.43201,-111.93922 33.42731,-111.94704 33.42731))",POINT (-111.94406546375005 33.42947421375),51,6,1,1,0,14,0,845.6796733439422,714.5001663969024
2,A2,-111.9350544,33.42987921428571,"POLYGON ((-111.93922 33.42731,-111.93922 33.43201,-111.93140000000001 33.43201,-111.93140000000001 33.42731,-111.93922 33.42731))",POINT (-111.9350544 33.42987921428571),14,0,2,0,0,0,0,634.2503529327744,626.992614123008
3,A3,-111.92837055833336,33.428420325,"POLYGON ((-111.93140000000001 33.42731,-111.93140000000001 33.43201,-111.92358000000002 33.43201,-111.92358000000002 33.42731,-111.93140000000001 33.42731))",POINT (-111.92837055833336 33.428420325),12,0,0,0,0,4,0,486.48886979196806,328.72454929990397
4,A4,-111.9221543,33.4279785,"POLYGON ((-111.92358000000002 33.42731,-111.92358000000002 33.43201,-111.91576000000002 33.43201,-111.91576000000002 33.42731,-111.92358000000002 33.42731))",POINT (-111.9221543 33.4279785),1,0,0,0,0,0,0,16.85305451328,16.85305451328
5,A5,-111.90836145714285,33.430847885714286,"POLYGON ((-111.91576000000002 33.42731,-111.91576000000002 33.43201,-111.90794000000002 33.43201,-111.90794000000002 33.42731,-111.91576000000002 33.42731))",POINT (-111.90836145714285 33.430847885714286),7,0,0,0,0,0,0,97.966977031872,97.966977031872
6,B1,-111.94230092315797,33.4249414968421,"POLYGON ((-111.9470429 33.42261,-111.9470429 33.42731,-111.9392229 33.42731,-111.9392229 33.42261,-111.9470429 33.42261))",POINT (-111.94230092315797 33.4249414968421),36,4,0,3,0,4,0,1389.0081797621053,1067.9393648590078
7,B2,-111.93654590888887,33.42450260666666,"POLYGON ((-111.9392229 33.42261,-111.9392229 33.42731,-111.93140290000001 33.42731,-111.93140290000001 33.42261,-111.9392229 33.42261))",POINT (-111.93654590888887 33.42450260666666),57,3,0,3,0,8,0,1647.9635974228804,1394.758611197645
8,B3,-111.92778697380952,33.42429023333333,"POLYGON ((-111.93140290000001 33.42261,-111.93140290000001 33.42731,-111.92358290000001 33.42731,-111.92358290000001 33.42261,-111.93140290000001 33.42261))",POINT (-111.92778697380952 33.42429023333333),34,0,0,0,0,8,0,812.2297945728893,617.38768852448
9,B4,-111.92057919687501,33.42375831249999,"POLYGON ((-111.92358290000001 33.42261,-111.92358290000001 33.42731,-111.91576290000002 33.42731,-111.91576290000002 33.42261,-111.92358290000001 33.42261))",POINT (-111.92057919687501 33.42375831249999),29,0,8,0,0,3,0,345.84445411526406,286.1281090808321
10,B5,-111.91181672535214,33.42429086197182,"POLYGON ((-111.91576290000002 33.42261,-111.91576290000002 33.42731,-111.90794290000002 33.42731,-111.90794290000002 33.42261,-111.91576290000002 33.42261))",POINT (-111.91181672535214 33.42429086197182),71,0,15,0,0,1,0,172.1140769470784,127.43856370707198
11,C1,-111.94201477181818,33.42038621545454,"POLYGON ((-111.9470429 33.41791,-111.9470429 33.42261,-111.9392229 33.42261,-111.9392229 33.41791,-111.9470429 33.41791))",POINT (-111.94201477181818 33.42038621545454),36,0,1,6,0,10,0,1273.2786733683845,926.718539813888
12,C2,-111.93531990615385,33.42030057307693,"POLYGON ((-111.9392229 33.41791,-111.9392229 33.42261,-111.93140290000001 33.42261,-111.93140290000001 33.41791,-111.9392229 33.41791))",POINT (-111.93531990615385 33.42030057307693),93,0,1,0,2,17,0,1806.5122582945025,1627.986066102592
13,C3,-111.92818686271193,33.42047444576272,"POLYGON ((-111.93140290000001 33.41791,-111.93140290000001 33.42261,-111.92358290000001 33.42261,-111.92358290000001 33.41791,-111.93140290000001 33.41791))",POINT (-111.92818686271193 33.42047444576272),50,0,0,1,2,16,0,1054.105048241216,835.3821736350077
14,C4,-111.91993981551724,33.42006265862069,"POLYGON ((-111.92358290000001 33.41791,-111.92358290000001 33.42261,-111.91576290000002 33.42261,-111.91576290000002 33.41791,-111.92358290000001 33.41791))",POINT (-111.91993981551724 33.42006265862069),45,8,1,3,0,5,0,951.7666599659585,370.6031273605247
15,C5,-111.91175451941746,33.4196416514563,"POLYGON ((-111.91576290000002 33.41791,-111.91576290000002 33.42261,-111.90794290000002 33.42261,-111.90794290000002 33.41791,-111.91576290000002 33.41791))",POINT (-111.91175451941746 33.4196416514563),86,35,0,4,0,7,0,484.54779041283865,412.1899430316929
16,D1,-111.94273584202898,33.41597729420292,"POLYGON ((-111.9470429 33.41321,-111.9470429 33.41791,-111.9392229 33.41791,-111.9392229 33.41321,-111.9470429 33.41321))",POINT (-111.94273584202898 33.41597729420292),4,2,0,0,0,0,0,655.59023686624,656.3364557186305
17,D2,-111.9353752919192,33.41596728484848,"POLYGON ((-111.9392229 33.41321,-111.9392229 33.41791,-111.93140290000001 33.41791,-111.93140290000001 33.41321,-111.9392229 33.41321))",POINT (-111.9353752919192 33.41596728484848),50,0,0,0,2,10,0,1284.1270262573767,1083.8220096388482
18,D3,-111.92707812897196,33.41587889719627,"POLYGON ((-111.93140290000001 33.41321,-111.93140290000001 33.41791,-111.92358290000001 33.41791,-111.92358290000001 33.41321,-111.93140290000001 33.41321))",POINT (-111.92707812897196 33.41587889719627),83,13,0,0,1,16,0,1166.7064766271299,1082.9027713025926
19,D4,-111.9202894690909,33.416093009090915,"POLYGON ((-111.92358290000001 33.41321,-111.92358290000001 33.41791,-111.91576290000002 33.41791,-111.91576290000002 33.41321,-111.92358290000001 33.41321))",POINT (-111.9202894690909 33.416093009090915),24,5,0,3,3,3,0,1128.6864486019838,521.5354026035327
20,D5,-111.91164352,33.41556553066666,"POLYGON ((-111.91576290000002 33.41321,-111.91576290000002 33.41791,-111.90794290000002 33.41791,-111.90794290000002 33.41321,-111.91576290000002 33.41321))",POINT (-111.91164352 33.41556553066666),35,2,0,3,0,10,0,1013.0662237918465,566.4403444278655
21,E1,-111.94280605714283,33.41089226571429,"POLYGON ((-111.9470429 33.40851,-111.9470429 33.41321,-111.9392229 33.41321,-111.9392229 33.40851,-111.9470429 33.40851))",POINT (-111.94280605714283 33.41089226571429),17,0,0,0,7,2,0,1023.3043943274366,300.903578425024
22,E2,-111.93485804102565,33.41002995384615,"POLYGON ((-111.9392229 33.40851,-111.9392229 33.41321,-111.93140290000001 33.41321,-111.93140290000001 33.40851,-111.9392229 33.40851))",POINT (-111.93485804102565 33.41002995384615),11,2,0,0,0,3,0,348.9230082251329,302.81225670021126
23,E3,-111.92741862456141,33.41115645964912,"POLYGON ((-111.93140290000001 33.40851,-111.93140290000001 33.41321,-111.92358290000001 33.41321,-111.92358290000001 33.40851,-111.93140290000001 33.40851))",POINT (-111.92741862456141 33.41115645964912),27,0,0,0,0,3,0,822.2338033791232,775.439984864128
24,E4,-111.91940406923074,33.41151700307693,"POLYGON ((-111.92358290000001 33.40851,-111.92358290000001 33.41321,-111.91576290000002 33.41321,-111.91576290000002 33.40851,-111.92358290000001 33.40851))",POINT (-111.91940406923074 33.41151700307693),29,5,0,0,0,3,0,453.72538279137933,440.91029086164485
25,E5,-111.91122355714285,33.41083656666666,"POLYGON ((-111.91576290000002 33.40851,-111.91576290000002 33.41321,-111.90794290000002 33.41321,-111.90794290000002 33.40851,-111.91576290000002 33.40851))",POINT (-111.91122355714285 33.41083656666666),31,1,0,0,0,0,0,379.45286140409604,380.71475767592966
26,Gate1,-111.9509529,33.41086,,POINT (-111.9509529 33.41086),0,0,0,0,0,0,13,13000.0,13000.0
27,Gate2,-111.9509529,33.41556,,POINT (-111.9509529 33.41556),0,0,0,0,0,0,20,20000.0,20000.0
28,Gate3,-111.9509529,33.42026,,POINT (-111.9509529 33.42026),0,0,0,0,0,0,20,20000.0,20000.0
29,Gate4,-111.9509529,33.42496,,POINT (-111.9509529 33.42496),0,0,0,0,0,0,28,28000.0,28000.0
30,Gate5,-111.9509529,33.42966,,POINT (-111.9509529 33.42966),0,0,0,0,0,0,7,7000.0,7000.0
31,Gate6,-111.9431329,33.4343558,,POINT (-111.9431329 33.4343558),0,0,0,0,0,0,31,31000.0,31000.0
32,Gate7,-111.93531290000001,33.4343558,,POINT (-111.93531290000001 33.4343558),0,0,0,0,0,0,60,60000.0,60000.0
33,Gate8,-111.9274929,33.4343558,,POINT (-111.9274929 33.4343558),0,0,0,0,0,0,26,26000.0,26000.0
34,Gate9,-111.9196729,33.4343558,,POINT (-111.9196729 33.4343558),0,0,0,0,0,0,7,7000.0,7000.0
35,Gate10,-111.91185290000001,33.4343558,,POINT (-111.91185290000001 33.4343558),0,0,0,0,0,0,9,9000.0,9000.0
36,Gate11,-111.90402999999999,33.4296558,,POINT (-111.90402999999999 33.4296558),0,0,0,0,0,0,8,8000.0,8000.0
37,Gate12,-111.90402999999999,33.4249558,,POINT (-111.90402999999999 33.4249558),0,0,0,0,0,0,7,7000.0,7000.0
38,Gate13,-111.90402999999999,33.4202558,,POINT (-111.90402999999999 33.4202558),0,0,0,0,0,0,16,16000.0,16000.0
39,Gate14,-111.90402999999999,33.4155558,,POINT (-111.90402999999999 33.4155558),0,0,0,0,0,0,20,20000.0,20000.0
40,Gate15,-111.90402999999999,33.4108558,,POINT (-111.90402999999999 33.4108558),0,0,0,0,0,0,8,8000.0,8000.0
41,Gate16,-111.91184999999999,33.40616,,POINT (-111.91184999999999 33.40616),0,0,0,0,0,0,11,11000.0,11000.0
42,Gate17,-111.91967,33.40616,,POINT (-111.91967 33.40616),0,0,0,0,0,0,44,44000.0,44000.0
43,Gate18,-111.92749,33.40616,,POINT (-111.92749 33.40616),0,0,0,0,0,0,58,58000.0,58000.0
44,Gate19,-111.93530999999999,33.40616,,POINT (-111.93530999999999 33.40616),0,0,0,0,0,0,20,20000.0,20000.0
45,Gate20,-111.94313,33.40616,,POINT (-111.94313 33.40616),0,0,0,0,0,0,12,12000.0,12000.0
